HostName,RequestType,Name,ResponseTime,ResponseLength,Status
DESKTOP-U80B0UL,GET,/index.php?controller=order,311.05650000972673,25446,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=5&controller=category,443.9487000054214,54160,PASS
DESKTOP-U80B0UL,GET,/index.php?controller=order,346.3257999974303,25446,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=3&controller=category,510.5699999839999,92779,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=3&controller=category,597.7993999840692,92779,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=3&controller=category,472.935800004052,92779,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=3&controller=category,485.84320000372827,92770,PASS
DESKTOP-U80B0UL,GET,/index.php?controller=order,300.68889999529347,25446,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=8&controller=category,480.9553000086453,84234,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=8&controller=category,446.6559999855235,84243,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=8&controller=category,403.72579998802394,84243,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=8&controller=category,498.07370000053197,84234,PASS
DESKTOP-U80B0UL,GET,/index.php?controller=order,309.3267999938689,25446,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=5&controller=category,386.43889999366365,54160,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=5&controller=category,422.4707999965176,54160,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=5&controller=category,406.898999994155,54160,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=5&controller=category,439.6028000046499,54151,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=3&controller=category,479.13449999759905,92779,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=3&controller=category,455.8370000158902,92779,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=3&controller=category,436.07619998510927,92779,PASS
DESKTOP-U80B0UL,GET,/index.php?controller=order,323.67140002315864,25446,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=3&controller=category,451.7243000154849,92770,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=8&controller=category,475.05049998289905,84243,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=8&controller=category,486.18290000013076,84243,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=3&controller=category,491.97560001630336,92779,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=8&controller=category,483.7633999995887,84243,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=8&controller=category,579.5660000003409,84234,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=5&controller=category,387.45120001840405,54160,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=5&controller=category,443.64179999683984,54151,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=5&controller=category,359.08809999818914,54151,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=8&controller=category,468.93699999782257,84234,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=5&controller=category,354.05720002017915,54151,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=3&controller=category,540.2163999970071,92779,PASS
DESKTOP-U80B0UL,GET,/index.php?controller=order,279.875499982154,25446,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=5&controller=category,543.7229000090156,54160,PASS
DESKTOP-U80B0UL,GET,/index.php?controller=addresses,463.55420001782477,34307,PASS
DESKTOP-U80B0UL,GET,/index.php?controller=order,283.9146999758668,25446,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=3&controller=category,516.6092000145,92779,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=8&controller=category,391.0184999986086,84243,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=3&controller=category,399.7601000010036,92779,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=3&controller=category,470.18150001531467,92779,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=8&controller=category,409.0071000100579,84243,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=3&controller=category,398.76069998717867,92779,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=5&controller=category,349.63659997447394,54151,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=8&controller=category,484.189199982211,84243,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=8&controller=category,418.48940000636503,84234,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=5&controller=category,405.3041999868583,54160,PASS
DESKTOP-U80B0UL,GET,/index.php?controller=order,283.85459998389706,25446,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=8&controller=category,429.8150000104215,84243,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=5&controller=category,410.8852999925148,54160,PASS
DESKTOP-U80B0UL,GET,/index.php?controller=order,288.8319999910891,25446,PASS
DESKTOP-U80B0UL,GET,/index.php?controller=order,272.20649999799207,25446,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=5&controller=category,395.0759999861475,54160,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=5&controller=category,424.9396999948658,54151,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=3&controller=category,428.37090001557954,92779,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=3&controller=category,487.0310999976937,92779,PASS
DESKTOP-U80B0UL,GET,/index.php?controller=order,342.886800004635,25446,PASS
DESKTOP-U80B0UL,GET,/index.php?controller=order,318.89640001463704,25446,PASS
DESKTOP-U80B0UL,GET,/index.php?controller=addresses,498.77590002142824,34307,PASS
DESKTOP-U80B0UL,GET,/index.php?controller=order,266.36569999391213,25446,PASS
DESKTOP-U80B0UL,GET,/index.php?controller=order,267.2366999904625,25446,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=8&controller=category,435.0464000017382,84243,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=8&controller=category,387.31049999478273,84243,PASS
DESKTOP-U80B0UL,GET,/index.php?controller=order,273.01569998962805,25446,PASS
DESKTOP-U80B0UL,GET,/index.php?controller=order,271.83189999777824,25446,PASS
DESKTOP-U80B0UL,GET,/index.php?controller=order,300.8667000103742,25446,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=5&controller=category,364.54730000696145,54151,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=3&controller=category,424.73230001633056,92770,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=5&controller=category,424.7227000014391,54160,PASS
DESKTOP-U80B0UL,GET,/index.php?controller=order,274.33620000374503,25446,PASS
DESKTOP-U80B0UL,GET,/index.php?controller=order,376.5313000185415,25446,PASS
DESKTOP-U80B0UL,GET,/index.php?controller=order,295.02369998954237,25446,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=8&controller=category,499.49459999334067,84243,PASS
DESKTOP-U80B0UL,GET,/index.php?controller=order,290.4541000025347,25446,PASS
DESKTOP-U80B0UL,GET,/index.php?controller=order,288.47239998867735,25446,PASS
DESKTOP-U80B0UL,GET,/index.php?controller=order,321.3795000046957,25446,PASS
DESKTOP-U80B0UL,GET,/index.php?controller=order,311.4402999926824,25446,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=5&controller=category,470.2466999879107,54151,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=3&controller=category,510.05670000449754,92770,PASS
DESKTOP-U80B0UL,GET,/index.php?controller=order,297.32839998905547,25446,PASS
DESKTOP-U80B0UL,GET,/index.php?controller=order,320.17769999220036,25446,PASS
DESKTOP-U80B0UL,GET,/index.php?controller=order,266.96360000642017,25446,PASS
DESKTOP-U80B0UL,GET,/index.php?controller=order,279.66190001461655,25446,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=3&controller=category,427.59469998418353,92770,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=8&controller=category,427.97299998346716,84243,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=3&controller=category,448.105299990857,92779,PASS
DESKTOP-U80B0UL,GET,/index.php?controller=order,301.130000007106,25446,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=8&controller=category,454.59189999382943,84243,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=5&controller=category,452.4917000089772,54160,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=3&controller=category,444.2339999950491,92779,PASS
DESKTOP-U80B0UL,GET,/index.php?controller=addresses,475.5621000076644,34307,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=8&controller=category,571.581199998036,84243,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=8&controller=category,521.2942000071052,84234,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=5&controller=category,452.4008000153117,54151,PASS
DESKTOP-U80B0UL,GET,/index.php?controller=order,317.31389998458326,25446,PASS
DESKTOP-U80B0UL,GET,/index.php?controller=order,277.2875999798998,25446,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=3&controller=category,410.32569998060353,92770,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=5&controller=category,389.2737000132911,54151,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=3&controller=category,540.087700006552,92779,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=5&controller=category,495.9697000158485,54151,PASS
DESKTOP-U80B0UL,GET,/index.php?controller=order,299.30179999792017,25446,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=3&controller=category,611.3504999957513,92779,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=8&controller=category,683.4145999746397,84243,PASS
DESKTOP-U80B0UL,GET,/index.php?controller=order,357.11389998323284,25446,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=8&controller=category,527.8511999931652,84243,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=3&controller=category,581.3890999997966,92779,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=8&controller=category,499.2781000037212,84234,PASS
DESKTOP-U80B0UL,GET,/index.php?controller=order,371.9481000152882,25446,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=5&controller=category,481.2658999871928,54160,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=5&controller=category,401.90580001217313,54151,PASS
DESKTOP-U80B0UL,GET,/index.php,496.11480001476593,51109,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=8&controller=category,488.4752999932971,84243,PASS
DESKTOP-U80B0UL,GET,/index.php?controller=order,286.53689997736365,25446,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=3&controller=category,470.13969998806715,92779,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=5&controller=category,502.16570001794025,54160,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=3&controller=category,621.5354999876581,92779,PASS
DESKTOP-U80B0UL,GET,/index.php,480.5830999976024,51109,PASS
DESKTOP-U80B0UL,GET,/index.php?controller=order,350.5965000076685,25446,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=3&controller=category,592.7145000023302,92779,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=5&controller=category,523.0531999841332,54160,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=8&controller=category,564.1226999869104,84243,PASS
DESKTOP-U80B0UL,GET,/index.php?controller=order,402.18340000137687,25446,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=3&controller=category,660.5481000151485,92779,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=8&controller=category,653.7989999924321,84243,PASS
DESKTOP-U80B0UL,GET,/index.php?controller=order,376.203899999382,25446,PASS
DESKTOP-U80B0UL,GET,/index.php,562.336500006495,51109,PASS
DESKTOP-U80B0UL,GET,/index.php?controller=order,353.4296999860089,25446,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=8&controller=category,620.3529000049457,84234,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=3&controller=category,584.7125999862328,92770,PASS
DESKTOP-U80B0UL,GET,/index.php,497.4962999986019,51109,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=5&controller=category,400.1000999996904,54160,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=3&controller=category,573.6083000083454,92779,PASS
DESKTOP-U80B0UL,GET,/index.php?id_category=5&controller=category,376.9120000069961,54160,PASS
